ID,Number of Balls Faced,Batting Runs,Dismissals,Batting Strike Rate,Average,Number of Balls Bowled,Runs off Bowling,Wickets,Bowling Strike Rate,Economy,Batting Index
1cfac535,309.0,325.0,28.0,105.18,11.61,1842.0,2431.0,96.0,25.32,7.92,24.422795999999998
c2988809,21.0,18.0,2.0,85.71,9.0,0.0,0.0,0.0,0.0,0.0,15.4278
5390f178,1.0,1.0,0.0,100.0,1.0,48.0,48.0,3.0,16.0,6.0,2.0
0c1da0c4,99.0,83.0,3.0,83.84,27.67,0.0,0.0,0.0,0.0,0.0,46.397056
1558d83b,69.0,63.0,9.0,91.3,7.0,1248.0,1526.0,60.0,25.43,7.34,12.782
d86f6c69,589.0,714.0,24.0,121.22,29.75,0.0,0.0,0.0,0.0,0.0,72.1259
214cf493,7.0,5.0,0.0,71.43,5.0,49.0,73.0,3.0,24.33,8.94,7.143000000000001
c16d4035,2688.0,3550.0,147.0,132.07,24.15,0.0,0.0,0.0,0.0,0.0,63.78980999999999
c2233c17,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4bf5c12f,8.0,10.0,1.0,125.0,10.0,12.0,19.0,1.0,19.0,9.5,25.0
508a1ea7,4406.0,5534.0,150.0,125.6,36.89,0.0,0.0,0.0,0.0,0.0,92.66768
b9877635,23.0,21.0,5.0,91.3,4.2,397.0,563.0,25.0,22.52,8.51,7.6692
e141fddd,61.0,50.0,3.0,81.97,16.67,0.0,0.0,0.0,0.0,0.0,27.328798000000003
4557dc54,72.0,63.0,13.0,87.5,4.85,1280.0,1432.0,63.0,22.73,6.71,8.487499999999999
42537f07,1720.0,2004.0,50.0,116.51,40.08,145.0,184.0,3.0,61.33,7.61,93.394416
03df7a25,260.0,342.0,20.0,131.54,17.1,364.0,496.0,19.0,26.11,8.18,44.98668
9eea360c,6.0,5.0,1.0,83.33,5.0,0.0,0.0,0.0,0.0,0.0,8.333
6c87f1df,10.0,0.0,3.0,0.0,0.0,98.0,110.0,5.0,22.0,6.73,0.0
506caa6a,2.0,1.0,1.0,50.0,1.0,31.0,40.0,2.0,20.0,7.74,1.0
4a461c24,1443.0,1662.0,86.0,115.18,19.33,2296.0,2677.0,104.0,25.74,7.0,44.528588
7d3720ba,2.0,0.0,2.0,0.0,0.0,12.0,35.0,0.0,35.0,17.5,0.0
24d94623,69.0,87.0,7.0,126.09,12.43,375.0,436.0,12.0,36.33,6.98,31.345974000000002
286fab38,18.0,9.0,2.0,50.0,4.5,0.0,0.0,0.0,0.0,0.0,4.5
91136091,39.0,32.0,3.0,82.05,10.67,27.0,23.0,2.0,11.5,5.11,17.50947
65be8bb2,79.0,91.0,5.0,115.19,18.2,100.0,120.0,5.0,24.0,7.2,41.92916
47c449c5,60.0,64.0,1.0,106.67,64.0,31.0,53.0,3.0,17.67,10.26,136.5376
4ff67681,34.0,34.0,2.0,100.0,17.0,36.0,26.0,2.0,13.0,4.33,34.0
ba4d600a,388.0,537.0,35.0,138.4,15.34,0.0,0.0,0.0,0.0,0.0,42.46112
f58839ad,30.0,24.0,3.0,80.0,8.0,0.0,0.0,0.0,0.0,0.0,12.8
80f81038,0.0,0.0,0.0,0.0,0.0,13.0,20.0,1.0,20.0,9.23,0.0
b63ab531,627.0,770.0,25.0,122.81,30.8,0.0,0.0,0.0,0.0,0.0,75.65096
8cf9814c,74.0,69.0,11.0,93.24,6.27,2429.0,3246.0,115.0,28.23,8.02,11.692295999999999
1777c020,2534.0,3301.0,128.0,130.27,25.79,102.0,96.0,3.0,32.0,5.65,67.19326600000001
d9792701,79.0,45.0,4.0,56.96,11.25,0.0,0.0,0.0,0.0,0.0,12.815999999999999
f6c2659d,337.0,352.0,23.0,104.45,15.3,809.0,862.0,45.0,19.16,6.39,31.9617
e342e5fb,1477.0,1949.0,120.0,131.96,16.24,3699.0,4690.0,177.0,26.5,7.61,42.860608
5c124657,87.0,76.0,9.0,87.36,8.44,169.0,183.0,11.0,16.64,6.5,14.746368
badef0dc,20.0,8.0,2.0,40.0,4.0,0.0,0.0,0.0,0.0,0.0,3.2
003d49e6,170.0,216.0,12.0,127.06,18.0,326.0,403.0,15.0,26.87,7.42,45.7416
65a2fff5,4.0,8.0,1.0,200.0,8.0,12.0,16.0,1.0,16.0,8.0,32.0
89ffd337,19.0,17.0,0.0,89.47,17.0,0.0,0.0,0.0,0.0,0.0,30.4198
211de69f,177.0,183.0,7.0,103.39,26.14,30.0,30.0,0.0,30.0,6.0,54.052291999999994
5afd4539,737.0,798.0,37.0,108.28,21.57,0.0,0.0,0.0,0.0,0.0,46.711992
c13b2833,28.0,33.0,1.0,117.86,33.0,0.0,0.0,0.0,0.0,0.0,77.7876
d953bf92,15.0,5.0,4.0,33.33,1.25,69.0,78.0,2.0,39.0,6.78,0.8332499999999999
e5117568,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dc36a6a5,460.0,505.0,25.0,109.78,20.2,0.0,0.0,0.0,0.0,0.0,44.35112
e56b84e7,102.0,127.0,5.0,124.51,25.4,0.0,0.0,0.0,0.0,0.0,63.25108
3c6ffae8,2506.0,3458.0,125.0,137.99,27.66,1494.0,1801.0,55.0,32.75,7.23,76.33606800000001
a2eac9df,308.0,285.0,23.0,92.53,12.39,194.0,240.0,6.0,40.0,7.42,22.928933999999998
3f1066d0,9.0,7.0,0.0,77.78,7.0,207.0,247.0,10.0,24.7,7.16,10.8892
c4450a69,647.0,823.0,40.0,127.2,20.58,748.0,1018.0,31.0,32.84,8.17,52.35552
b8f3362a,5.0,3.0,1.0,60.0,3.0,0.0,0.0,0.0,0.0,0.0,3.6
94eac556,179.0,172.0,15.0,96.09,11.47,1732.0,2070.0,95.0,21.79,7.17,22.043046000000004
91ffa6c6,1472.0,1985.0,87.0,134.85,22.82,435.0,557.0,18.0,30.94,7.68,61.54554
cefe0886,15.0,7.0,1.0,46.67,7.0,93.0,110.0,2.0,55.0,7.1,6.5338
5fe3709e,33.0,27.0,1.0,81.82,27.0,226.0,222.0,10.0,22.2,5.89,44.1828
2c01f21a,0.0,0.0,0.0,0.0,0.0,13.0,10.0,1.0,10.0,4.62,0.0
526e006d,7.0,6.0,0.0,85.71,6.0,42.0,74.0,0.0,74.0,10.57,10.2852
f7177fd6,13.0,10.0,1.0,76.92,10.0,153.0,178.0,7.0,25.43,6.98,15.384
