PlayerID,Full Name,Born,Age,Batting Style,Bowling Style,Playing Role,ID,Player Role Inferred,key_cricinfo,Player Role Cleaned,Bowling Style Cats
6033,Mitchell Guy Johnson,"November 02, 1981, Townsville, Queensland",40y 255d,Left hand Bat,Left arm Fast,Bowler,f5180fe6,Bowler,6033,Bowler,Left Arm Fast
596426,Stefan Tait,"March 14, 1996",26y 123d,Left hand Bat,Left arm Fast,,2635912,Bowler,596426,Bowler,Left Arm Fast
1115025,Semo Igo Kamea,"August 21, 2001",20y 327d,Left hand Bat,Left arm Fast,Bowler,0730a707,Bowler,1115025,Bowler,Left Arm Fast
878465,Mehedi Hasan Rana,"January 01, 1997, Chandpur",25y 194d,Left hand Bat,Left arm Fast,Bowler,0b7363da,Bowler,878465,Bowler,Left Arm Fast
460176,Gregory Irving,"July 14, 1973, Jamaica",49y ,Left hand Bat,Left arm Fast,,17530fd9,Bowler,460176,Bowler,Left Arm Fast
311592,Mitchell Aaron Starc,"January 30, 1990, Baulkham Hills, Sydney, New South Wales",32y 165d,Left hand Bat,Left arm Fast,Bowler,3fb19989,Bowler,311592,Bowler,Left Arm Fast
1072470,Shaheen Shah Afridi,"April 06, 2000, Khyber Agency",22y 99d,Left hand Bat,Left arm Fast,Bowler,45a7e761,Bowler,1072470,Bowler,Left Arm Fast
334621,Shadley Claude van Schalkwyk,"August 05, 1988, Cape Town, Cape Province",33y 343d,Left hand Bat,Left arm Fast,,97b0e4ff,Bowler,334621,Bowler,Left Arm Fast
858435,Liam Guthrie,"April 09, 1997",25y 96d,Left hand Bat,Left arm Fast,Bowler,b03303ca,Bowler,858435,Bowler,Left Arm Fast
643433,George Henry Simmons Garton,"April 15, 1997, Brighton, Sussex",25y 90d,Left hand Bat,Left arm Fast,Bowling Allrounder,be869ccf,Bowler,643433,Bowling Allrounder,Left Arm Fast
315912,Delorn Edison Johnson,"September 15, 1988",33y 302d,Left hand Bat,Left arm Fast,Bowler,c0babb93,Bowler,315912,Bowler,Left Arm Fast
698317,Ruben Trumpelmann,"February 01, 1998, Durban",24y 164d,Right hand Bat,Left arm Fast,Bowler,ff6a7ab5,Bowler,698317,Bowler,Left Arm Fast
259551,Mohammad Junaid Khan,"December 24, 1989, Matra, Khyber Pakhtunkhwa",32y 202d,Right hand Bat,Left arm Fast,Bowler,086f5984,Bowler,259551,Bowler,Left Arm Fast
543041,Mbulelo Budaza,"September 06, 1993, Grahamstown, eastern cape",28y 311d,Right hand Bat,Left arm Fast,,1d105638,Bowler,543041,Bowler,Left Arm Fast
459257,Tymal Solomon Mills,"August 12, 1992, Dewsbury, Yorkshire",29y 336d,Right hand Bat,Left arm Fast,Bowler,245c97cb,Bowler,459257,Bowler,Left Arm Fast
696401,Marco Jansen,"May 01, 2000",22y 74d,Right hand Bat,Left arm Fast,Bowling Allrounder,81c36ee9,Bowler,696401,Bowling Allrounder,Left Arm Fast
646181,Nosaina Pokana,"April 12, 1996",26y 93d,Right hand Bat,Left arm Fast,Bowler,87a92b6b,Bowler,646181,Bowler,Left Arm Fast
595954,Duan Jansen,"May 01, 2000",22y 74d,Right hand Bat,Left arm Fast,,8dc152d1,Bowler,595954,Bowler,Left Arm Fast
429981,Mohammad Irfan,"June 06, 1982, Gaggu Mandi, Punjab",40y 38d,Right hand Bat,Left arm Fast,Bowler,a8e3170f,Bowler,429981,Bowler,Left Arm Fast
347663,Atif Sheikh,"February 18, 1991, Nottingham",31y 146d,Right hand Bat,Left arm Fast,,b2dbe638,Bowler,347663,Bowler,Left Arm Fast
43590,Wahab Riaz,"June 28, 1985, Lahore, Punjab",37y 16d,Right hand Bat,Left arm Fast,Bowler,b3118300,Bowler,43590,Bowler,Left Arm Fast
595882,Akhona Mnyaka,"June 22, 1999",23y 22d,Right hand Bat,Left arm Fast,Bowler,bd36db2c,Bowler,595882,Bowler,Left Arm Fast
6981,Dirk Peter Nannes,"May 16, 1976, Mount Waverley, Melbourne, Victoria",46y 59d,Right hand Bat,Left arm Fast,Bowler,c404f58a,Bowler,6981,Bowler,Left Arm Fast
559440,Toby James Lester,"April 05, 1993, Blackpool",29y 101d,Left hand Bat,Left arm Fast medium,,d83a3bdc,Bowler,559440,Bowler,Left Arm Fast
51050,Demuni Nuwan Tharanga Zoysa,"May 13, 1978, Colombo",44y 63d,Left hand Bat,Left arm Fast medium,Bowler,e0351c86,Bowler,51050,Bowler,Left Arm Fast
290948,Mohammad Amir,"April 13, 1992, Gujjar Khan, Punjab",30y 93d,Left hand Bat,Left arm Fast medium,Bowler,e174dadd,Bowler,290948,Bowler,Left Arm Fast
679567,Benjamin James Dwarshuis,"June 23, 1994, Kareela, New South Wales",28y 22d,Left hand Bat,Left arm Fast medium,Bowler,e1b9f3a9,Bowler,679567,Bowler,Left Arm Fast
533561,Waqas Maqsood,"November 04, 1987, Faisalabad, Punjab",34y 253d,Left hand Bat,Left arm Fast medium,Bowler,f59b3bd1,Bowler,533561,Bowler,Left Arm Fast
952729,Michael Alex Robert Cohen,"August 04, 1998, Cape Town, Cape Province",23y 345d,Left hand Bat,Left arm Fast medium,Bowler,fc6f22e9,Bowler,952729,Bowler,Left Arm Fast
319746,Shapoor Zadran,"July 08, 1987, Logar Province, Afghanistan",35y 7d,Left hand Bat,Left arm Fast medium,Bowler,fccebff9,Bowler,319746,Bowler,Left Arm Fast
